Name,X [ ],Y [ ],DeltaE [kcal/mol],Reaction,HOMO Energy [eV],Mulliken Charge [a.u],Molecular Weight in [a.u.],Molecular Shape [ ],Molecular Volume [A^3],L1,L2,bond type
Pd_0.0,-3.151852597586e+00,-1.589871364501e+01,-9.500000,Negishi,-7.6944,-0.154679,284.372,0.55556,65.81327,0,0,0
Pd_0.10,-8.010249791569e+00,-5.964010702751e+00,-25.860000,Suzuki,-5.72357,-0.281055,548.773,0.43333,1571.363,0,10,0
Pd_0.11,-7.604922949917e+00,-1.016202435003e+01,-22.800000,Kumada,-6.38641,-0.258260,562.030,0.40741,1026.502,0,11,0
Pd_0.12,-7.501698162906e+00,-1.088449476212e+01,-25.150000,Suzuki,-6.27535,-0.264723,512.665,0.40741,878.9266,0,12,0
Pd_0.13,-7.798204142768e+00,-1.004775485596e+01,-16.510000,Kumada,-5.86158,-0.277379,500.776,0.40741,1151.582,0,13,0
Pd_0.14,-8.189734058827e+00,-1.066726883673e+01,-23.330000,Kumada,-5.91385,-0.275382,500.776,0.33333,859.5266,0,14,0
Pd_0.15,-8.155049415668e+00,-1.071516597308e+01,-16.584275,Kumada,NAN,NAN,500.776,0.33333,820.1634,0,15,0
Pd_0.16,-9.400469162221e+00,-9.539446573821e+00,-11.270000,Negishi,-5.50988,-0.391931,584.937,0.33333,1243.246,0,16,0
Pd_0.17,-4.715956299593e+00,-1.383877803105e+01,-27.490000,Kumada,-6.06819,-0.241258,328.590,0.46154,345.5117,0,17,0
Pd_0.18,-6.443787175061e+00,-1.231320005971e+01,-21.900000,Kumada,-5.76849,-0.283744,412.751,0.36842,528.7487,0,18,0
Pd_0.19,-3.688285146618e+00,-1.436646077303e+01,-25.630000,Suzuki,-6.23506,-0.250503,334.553,0.57143,340.0533,0,19,0
Pd_0.1,-3.154401666858e+00,-1.567135211347e+01,-13.280000,Kumada,-7.5847,-0.021637,333.737,0.55556,66.48216,0,1,0
Pd_0.20,-5.528892992920e+00,-1.284011744319e+01,-26.170000,Kumada,-6.26283,-0.324870,394.605,0.44444,632.4017,0,20,0
Pd_0.21,-6.855818491360e+00,-1.157186421724e+01,-21.500000,Kumada,-6.03961,-0.287485,438.705,0.40909,749.8536,0,21,0
Pd_0.22,-7.680862093165e+00,-1.104915105215e+01,-18.220000,Kumada,-5.76849,-0.399333,484.817,0.36,749.8835,0,22,0
Pd_0.23,-7.957482000133e+00,-1.079558325292e+01,-16.018584,Kumada,NAN,NAN,512.871,0.37037,743.6177,0,23,0
Pd_0.24,-7.451979101638e+00,-1.116102892815e+01,-25.320000,Suzuki,-5.91766,-0.329474,464.743,0.375,819.6641,0,24,0
Pd_0.25,-7.714219577692e+00,-1.097995563516e+01,-21.630000,Kumada,-6.03498,-0.333615,472.722,0.36,839.8060,0,25,0
Pd_0.26,-7.935146432463e+00,-1.077767909510e+01,-23.000000,Kumada,-5.65198,-0.290547,488.721,0.34615,935.4468,0,26,0
Pd_0.27,-7.439922861742e+00,-1.105822537466e+01,-25.481497,Suzuki,NAN,NAN,472.722,0.4,841.4792,0,27,0
Pd_0.28,-3.564556537943e+00,-1.483630490168e+01,-14.340000,Kumada,-6.66135,-0.219221,344.501,0.57143,188.6775,0,28,0
Pd_0.29,-3.570988138175e+00,-1.483710366927e+01,-30.160000,Kumada,-6.17572,-0.241248,341.549,0.57143,200.4549,0,29,0
Pd_0.2,-3.439199440706e+00,-1.552595882670e+01,-23.180000,Kumada,-6.00314,-0.243281,272.482,0.55556,167.9844,0,2,0
Pd_0.30,-7.174623560573e+00,-1.165435626952e+01,-11.530000,Kumada,-5.67076,-0.333159,467.791,0.34783,701.6649,0,30,0
Pd_0.31,-5.454123545595e+00,-1.312990536042e+01,-19.480000,Kumada,-5.44537,-0.331277,412.672,0.42105,386.2808,0,31,0
Pd_0.32,-6.581518836543e-01,5.741190564058e+00,-27.940000,Kumada,-5.71241,-0.291974,292.536,0.5,154.4794,0,32,0
Pd_0.33,-1.021659907381e+00,5.744172276417e+00,-30.130000,Kumada,-5.73664,-0.240388,320.590,0.5,166.8943,0,33,0
Pd_0.34,-1.720260085160e+00,5.381384981275e+00,-29.110000,Kumada,-5.52867,-0.351804,348.644,0.4375,238.0122,0,34,0
Pd_0.35,-2.555281077657e+00,5.019793927296e+00,-24.330000,Suzuki,-5.51179,-0.353159,376.698,0.38889,330.7395,0,35,0
Pd_0.36,-2.831400962104e+00,5.817769923698e+00,-24.770000,Suzuki,-5.71268,-0.273019,428.773,0.5,542.0641,0,36,0
Pd_0.37,-4.888121981696e+00,5.594827589786e+00,-24.660000,Suzuki,-5.24366,-0.377031,500.839,0.46429,579.7043,0,37,0
Pd_0.38,-7.068589778074e-01,5.744129462168e+00,-22.550000,Kumada,-5.35826,-0.410298,293.544,0.5,180.1488,0,38,0
